Job Title,Job Description
JavaScript Developer,"Were looking for a highly motivated Software Developer to join our team remotely where youll help to design and build mobile applications and backend infrastructure, for our smart home products. With thousands of customers and connected devices interacting with our cloud service, the job will involve developing highly scalable and reliable software. Our infrastructure is built on Amazon Web Services, and you will be working heavily with services such as DynamoDB and Lambda.
Mysa has a progressive company culture that embraces both work-life balance and remote work. The silver lining of the COVID-19 pandemic, if we are to look for one, is that weve been positioned from a company-wide perspective to learn exactly what it takes to successfully manage a remote team and, were very proud of what weve achieved. With our core values at heart, we have an in-depth understanding of how imperative it is that all of our people, no matter where they are located, experience our culture and family-like environment in the same manner. We also appreciate that the key to successful remote work is a foundation built upon effective communication, team-based collaboration, and access to all of the right tools. At Mysa, regardless of your location, you will be positioned for success.
Skills
JavaScript GIT Jira Communication Skills NoSQL Databases React AWS
Responsibilities and Duties
Work with cutting edge technology to develop new solutions
Collaborate with our UI/UX and visual designers to craft the best user experience
Work closely with other software developers, as well as the hardware design and development teams, to ensure our entire technical ecosystem interoperates smoothly
Build software and services primarily in JavaScript and TypeScript Develop new features in React (web) and React Native (mobile)
Help improve our software development processes
Participate in brainstorming sessions and contribute ideas to our technology and products
Work towards the achievement of the company vision statement
Requirements:
Diploma/Degree in Computer Science, Software Engineering, or a related field combined with software development training
Minimum of 3 years of relevant software development or web development work experience
Experience with JavaScript and modern frameworks
Experience with relational and NoSQL databases
Experience with cloud technologies (AWS preferred)
Experience with Git and JiraAble to work comfortably in either a Windows, Linux or Mac development environment
Analytical thinker, with a creative mind, and an adaptable nature
Ability to work well on your own, or as part of a team
Excellent communication skills with the ability to clearly present solutions, while efficiently multi-tasking various priorities
Benefits & Perks:
A rewarding career path where you can sharpen your skills and showcase your talent
An environment where you are recognized and appreciated for your work and effort
Flexible environment (Work from home or a coffee shop as you see fit)
Flexible hours (No set office hours; You work 40 hrs/wk, and meet your role requirements)
Competitive all-inclusive hourly rates
Innovative software and technology (Slack is our internal communication tool need we say more?)
At Mysa, we believe people are the heart of our business and we appreciate each individuals unique qualities and diverse experiences. So, if this role sounds exciting to you, and you fit most of the criteria, do not hesitate to apply we value individual abilities over a profile on paper.
Required Experience and Qualifications
Experience: 3 - 5 years in SOFTWARE DEVELOPMENT( Required )
Graduation: Bsc.Computer Science( Required )
Proficient in English( Required )"
Django Developer,"Bachelor's in Computer Science or related field plus 2-3 years of recent experience.
Strong troubleshooting / debugging skills (with 3+ years of experience).
Must have recent experience working in a Linux/Unix environment
Must have programming skills with previous application development experience in Python
Javascript, Node.js and JSON working knowledge
Strong written & oral communication is required, for partner interactions and troubleshooting support
Job Responsibilities*
Must have the ability to understand the scripts and code, love troubleshooting issues, and have strong technical skills.
Comfortable learning and working with new programming languages.
Able to work with the various internal teams, to ensure a high-quality onboarding process.
Provide development and onboarding support to partners and team members in multiple stages of the onboarding process.
Troubleshoot applications and analyze partner data to identify issues and communicate actionable insights to stakeholders.
Complete regular testing and onboarding tasks and be able to interpret results from testing scripts.
Strong written & oral communication is required for partner interactions and troubleshooting support
Be able to work autonomously under established timelines.
Be able to handle many tasks, manage multiple integration tasks in parallel.
Proactively communicate status to team members.
Job Type: Full-time
Salary: From 15,000.00 per month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Python: 1 year (Preferred)
Education:
Bachelor's (Required)"
Flutter Developer,"Jr/Sr Software Engineer
Required skills : React Native very good command & done at least 1 project
B.E / BCA / MCA / Msc. IT
Additional Perks:
1) 1st to 4th Saturday half-day(except 5th)
2) Learning session
3) Motivation Session
4) Employee Engagement Activity
5) Salary on time
6) Festival Celebration
7) Friendly environment
8) 1 Day Credit after 6months
Job Types: Full-time, Fresher
Pay: 12,000.00 - 35,000.00 per month
Schedule:
Day shift
Selection rounds:
Written test
HR Interview
Technical Interview
Industry:
Software Development"
iOS Developer,"Job Description: *
Proven experience as an app developer.
Proficient in Objective-C, Swift, and Cocoa Touch.
Extensive experience with iOS Frameworks such as Core Data and Core Animation.
Knowledge of iOS back-end services.
Knowledge of Apples design principles and application interface guidelines.
Proficient in code versioning tools including Mercurial, Git, and SVN.
Knowledge of C-based libraries.
Familiarity with push notifications, APIs and cloud messaging.
Experience with continuous integration.
Required Experience: 03M-4 Yrs (Freshers with industrial training),
Location: Chandigarh,
Salary: hike on CTC,
Interested candidates can call us on 0172-4014455, 6280036002.
Job Type: Full-time
Schedule:
Day shift
Experience:
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)"
Database Administrator,main responsibility hr administrator mainly administrative duty maintaining updating employee record managing hr document employee electronic record e.g employment onboarding paperwork etc updating internal database create maintain electronic employee record hris adp financial system new hire promotion transfer termination job personal change ensure relevant hr database date accurate complies legislation perform employee data research analysis answer question needed per request mainly hr business partner hr coordinator perform regular database audit ensure data accuracy alignment system assist payroll department auditing data payroll transmission answering question providing relevant employee information needed process/respond employment verification unemployment claim coordination hr coordinator hr business partner needed comply government regulation related employment respond government inquiry reporting requirement revise hr processes/guides needed prepare training documentation required understand sg hris architecture sg organization structure able assist implementation new revised system and/or process participate hr project needed analyze current hr process procedure recommend improved method liaise third party service provider process invoice prepare send routine correspondence notice internally externally perform duty assigned time comply sg code integrity qualification bachelor degree human resource relevant field minimum 6 year experience proven work experience hr administrator relevant hr role shrm-cp phr credential highly regarded experience hr software hris hrms adp preferred computer literacy office application particular excel possible intermediate level word thorough knowledge labor law excellent organizational skill ability prioritize important projects/tasks strong phone email in-person communication skill
Wordpress Developer,"We are seeking a WordPress Developer responsible for both back-end and front-end development, including creating WordPress themes and plugins. This position requires a combination of programming skills and aesthetics.
Experience Level: 2+ years
Responsibilities:
Designing and implementing new features and functionalities
Establishing and guiding the websites architecture
Ensuring high-performance and availability, and managing all technical aspects of the CMS
Helping formulate an effective, responsive design and turning it into a working theme and plugin.
Qualifications:
Good understanding of front-end technologies, including HTML5, CSS3, JavaScript, jQuery, RWD etc.
Experience in building user interfaces for websites and/or web applications
Comfortable in working with debugging tools like Firebug, Chrome inspector, etc.
Ability to understand CSS changes and their ramifications to ensure consistent style across platforms and browsers.
Ability to convert comprehensive layout and wireframes into working HTML pages
Knowledge on how to interact with RESTful APIs and formats (JSON, XML)
Proficient understanding of code versioning tools
Strong understanding of PHP back-end development
Willingness to upskill.
Contract length: 12 months
Application Deadline: 25/12/2020
Expected Start Date: 01/01/2021
Job Types: Full-time, Contract
Salary: From 15,000.00 per month
Benefits:
Work from home
Schedule:
Day shift
Flexible shift
Morning shift
Supplemental Pay:
Performance bonus
Yearly bonus
Experience:
WordPress: 2 years (Required)
work: 1 year (Required)
total work: 2 years (Preferred)
Education:
Bachelor's (Required)
Work Remotely:
Yes
Speak with the employer
+91 0096566883804"
Node js developer,"We are looking for qualified developers who will be responsible either to develop a new website or maintain an old website built in NodeJS. Knowledge of Node.js and frameworks such as Express.js, Sails.js, Socket.io, Strong Loop, Meteor.js, Koa.js, Hapi.js is a must.
Roles & Responsibilities
Tasks & Activities
Requirement gathering from Business/Stakeholders
Discussion with the client/business team to understand their requirements.
Ask relevant questions to clarify the business requirements.
If needed, document the business rules.
Estimations & Task Planning
Divide the project into modules and tasks based on the business requirement or SRS.
Estimate time for the modules/tasks based on different estimation techniques.
Prepare project plan and WBS which will have each module and tasks with specific start and end date.
Seek approval from all the stakeholders on WBS and prepare the project plan accordingly.
You should be well-versed with the project management tool.
Database creation & updating custom modules
Identify the modules/tasks and prepare the database designs using MySQL Workbench.
Discuss the same with the team members and seek approval from stakeholders.
Coding, Debugging, Unit Testing & Documentation of Code and Application
As per the best standard practices and guidelines, code each module within the timeline mentioned in WBS.
Debug and unit test the code/module.
Ability to write testable codes and handle various testing tools. (Example: Jest/Jasmine/Mocha and test runner like Karma/Chutzpah).
Use appropriate versioning tools like GIT, SVN, etc.
Document the code and application which later can be shared with the client.
Prepare the user manuals for custom module/code which needs to be shared with the client and used for training purposes as well.
Optimize the website after checking through benchmarking tools like www.gtmetrix.com or Google Page Speed.
Experience on Angular or React JS is a plus.
Understanding the nature of asynchronous programming including its quirks and workarounds.
Perform user authentication and user authorization between multiple systems, servers, and environments.
Understanding the differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform.
Project Deployment & Maintenance
Check all the deployment checklist before putting anything on production.
Update the security patches whenever those are available.
Mandatory Skills & Knowledge
Minimum 2 years of development experience in NodeJS / ExpressJS and MongoDB.
Good understanding and experience of HTML / CSS / JavaScript.
Hands-on experience with ES6 / ES7 / ES8 features.
Thorough understanding of the Request Lifecycle (including Event Queue, Event Loop, Worker Threads, etc).
Familiarity with security principles including SSL protocols, data encryption, XSS, CSRF.
Expertise in Web Services / REST APIs will be beneficial.
Proficiency in Linux and deployment on Linux are valuable.
Knowledge about ORM like Sequelize and ODM like Mongoose and the ability to handle DB transactions is a necessity.
Experience with Angular JS / React JS will be an added advantage.
Expertise with RDBMS like MySQL / PostgreSQL will be a plus.
Knowledge of AWS services like S3, EC2 will be helpful.
Understanding of Agile and CI/CD will be of value.
Technologies / Frameworks / Tools / Proficiency
Languages/Frameworks: Node JS, Express JS, jQuery, JavaScript, CSS, Ajax
Database: MongoDB, MySQL.
Tools: Git.
What's in it for you?
Opportunity to grow and scale high with us.
Work in a fun and transparent atmosphere alongside a collaborative team.
Guidance and support from the senior staff for your growth.
Competitive salary with benefits."
JavaScript Developer,"TELECOMMUTE LOCATION: Remote, Latin America
Who We Are
We are a growing start-up with amazing opportunities!
Nearsure was created to help US-based companies augment their software development teams efficiently. By being remote-first and connecting with developers across Latin America, we can access top tech talent while keeping a lean organizational structure.
Our reach spans thousands of IT professionals, with skills in multiple industries and technologies. We have a fully distributed team working remotely from Argentina, Bolivia, Colombia, Ecuador, Honduras, Mexico, Peru and Uruguay and we want to keep expanding all over Latin America!
Role Description
We are looking for a Full-stack Engineer with Python and JavaScript expertise to work from home for a challenging project in the US. You will be joining the team of a distributed company in the automotive industry to develop front-end and back-end solutions for a digital automotive merchandising platform that offers a personalized physical showroom experience to car shoppers.
The successful candidate will also collaborate and communicate remotely with a team of other Engineers, QAs, Scrum Masters and Product Owners to deliver code with a strong focus on quality, using agile methodologies.
This is a remote, full-time position with a 40-hours workload per week for Latin America only.
Skills
JQuery Python Communication Skills Full Stack Development Agile Written Communication Skill Time Management
Responsibilities and Duties
Requirements
3+ years of professional experience in an engineering role
Proficiency with Python
Knowledge of JavaScript
Strong written and verbal communication skills
A trustworthy, goal-oriented team player with organizational and time-management skills
Able to collaborate and communicate efficiently in a distributed team
Desired Qualifications
Familiarity with Flask
Understanding of jQuery
Experience working with agile methodologies
Experience working remotely
What We Offer
Work from home, with flexible working schedules
Competitive salary in USD
Paid time off (annual leave, National holidays, sick time and parental leave)
Take part in challenging projects for distributed companies in the US
Integrate a growing team with great opportunities for professional growth and a friendly, multicultural environment with a great company culture.
A tailor-made benefits package focused on health, wellbeing, entertainment, training and personal finances available for you to choose what you really care about
We are a fully distributed, multicultural start-up looking for the best talent in Latin America. Dont hesitate to apply if you feel you are a good fit for this position!
Required Experience and Qualifications
Experience: 3 - 7 years in Fullstack Python & JavaScript development( Required )
Graduation: Any Degree( Preferred )
Proficient in English( Required )"
Machine Learning,"Design and develop solutions using Machine Learning and other advanced AI technologies to solve a variety of problems
Translate user stories and business requirements to technical solutions by building quick prototypes or proof of concepts with several business and technical stakeholder groups in both internal and external organizations
Convert the proof of concepts to production-grade solutions that can scale for hundreds of thousands of users
Be hands-on where required and lead by following best practices in development and CI/CD methods
yu
4+ years of experience in software development for high-tech products or services
2+ years of hands-on experience delivering products or solutions that utilized Machine Learning, Natural Language Processing or other forms of AI solutions like machine vision
Highly skilled in Python and preferably in one or more programming languages like C++, Java, Go, etc
Strong hands-on experience in one or more of the Machine Learning tools like TensorFlow, Keras, Theano, or Caffe and have solved several real-life problems using these
Experience in one or more NLP libraries (i.e. spaCy, NLTK, etc) is a plus
Experience with handling Big Data (Spark, HBase, Kafka, etc) is a plus
You are confident in expressing your point of view from a position of knowledge and experience. You are also
receptive to feedback and open to revising your plans when appropriate
top 5 reasns
An entrepreneurial environment with immediate responsibility and a chance to make a difference from the word go
Innovative projects with big name clients and exposure to future, cutting edge technologies
Unlimited individual growth opportunities and the ability to create a personalised career path
Access to a global network with opportunities to live and work abroad
All the support, training and coaching you need to further your career
and extra on top: A team spirit and family-like culture as exciting and colourful as our gradient coloured coffee marshmallows
cntact
Karthick Raja M
Manager- Talant Acquisition
careers_in@umlaut.com
s
umlaut is a 4500+ people strong global full service cross industry end-to-end partner that applies its deep-running interdisciplinary, collaborative advisory and fulfilment capabilities to change its clients fortunes for the better and - on top of that - add value, quality and focus to their organisations and produce."
Full Stack Developer,role full stack java developer location detroit mi contract position role description `` undergraduate degree technical certificate. `` 5-7 year relevant experience. `` hand experience j2ee platform based web application batch maintenance development. `` proficient ajax framework jquery extjs etc. `` experience web ui framework bootstrap angularjs `` in-depth knowledge distributed technology related framework spring hibernate. `` experienced database scripting stored procedure relational database mysql oracle. `` practical knowledge programming design development process including development functional specifications. `` practical knowledge documentation associated design processes. `` experienced designing developing web application jboss platform. `` ability unit test java component using framework junit mock object `` strong interpersonal written verbal communication skills. `` depth industry knowledge application development architectures. `` knowledge application design development process i.e version control defect management etc diverse lynx llc equal employment opportunity employer qualified applicant receive due consideration employment without discrimination applicant evaluated solely basis ability competence proven capability perform function outlined corresponding role promote support diverse workforce across level company
